"cod_transecto"	"bi"	"longitud"	"dist_de_borde"	"Precipit"	"temp"
"B1T1"	"borde"	50	0	1.27	17.80
"B1T2"	"borde"	50	10	1.27	17.80
"B1T3"	"borde"	50	20	1.27	18.92
"B1T4"	"borde"	50	40	1.52	19.50
"B1T5"	"borde"	50	80	1.52	19.75
"B2T1"	"borde"	50	0	0.25	19.75
"B2T2"	"borde"	50	10	0.25	19.25
"B2T3"	"borde"	50	20	0.25	20.00
"B2T4"	"borde"	50	40	10.16	18.25
"B2T5"	"borde"	50	80	10.16	20.50
"B3T1"	"borde"	50	0	0.00	20.50
"B3T2"	"borde"	50	10	0.00	20.75
"B3T3"	"borde"	50	20	0.00	23.00
"B3T4"	"borde"	50	40	0.00	19.00
"B3T5"	"borde"	50	80	0.00	19.50
"B4T1"	"interior"	50	250	0.76	20.70
"B4T2"	"interior"	50	260	0.76	20.00
"B4T3"	"interior"	50	270	0.76	19.75
"B4T4"	"interior"	45	290	0.25	19.94
"B4T5"	"interior"	50	330	0.25	21.61
"B5T1"	"interior"	50	250	0.00	20.71
"B5T2"	"interior"	50	260	0.00	20.25
"B5T3"	"interior"	50	270	0.00	20.10
"B5T4"	"interior"	50	290	0.00	19.78
"B5T5"	"interior"	50	330	0.00	19.70
"B6T1"	"interior"	50	250	0.00	20.25
"B6T2"	"interior"	50	260	0.00	20.87
"B6T3"	"interior"	50	270	0.00	21.08
"B6T4"	"interior"	50	290	0.00	20.00
"B6T5"	"interior"	50	330	0.00	19.57
